"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
01C0001000,MONTGOMERY SURGICAL CENTER,470 TAYLOR RD SUITE 100,MONTGOMERY,AL,36117,,(334) 747-9666,97,3,0,99,90,8,2,94,86,12,2,95,92,7,1,97,3,559,125,23,10/01/2024,09/30/2025
01C0001002,MOBILE SC LTD DBA MOBILE SURGERY CENTER,6144 AIRPORT BLVD SUITE A,MOBILE,AL,36608,,(251) 438-3614,99,1,0,100,96,4,0,98,92,7,1,97,94,5,1,97,3,818,217,27,10/01/2024,09/30/2025
01C0001008,OUTPATIENT CARECENTER,2720 UNIVERSITY BLVD,BIRMINGHAM,AL,35007,,(205) 558-4859,96,3,1,98,95,4,1,97,88,10,2,95,89,8,3,95,3,1723,371,22,10/01/2024,09/30/2025
01C0001009,SURGICARE OF MOBILE LTD,2890 DAUPHIN ST.,MOBILE,AL,36606,,(251) 473-2020,98,2,0,99,95,4,1,97,92,7,1,96,92,7,1,97,3,1079,333,31,10/01/2024,09/30/2025
01C0001010,SOUTHERN ALABAMA SURGERY CENTER LLC,"2800 ROSS CLERK CIR, STE. 3",DOTHAN,AL,36301,,(334) 793-3411,95,4,1,97,86,11,3,91,84,12,4,93,84,11,5,93,3,585,167,29,10/01/2024,09/30/2025
01C0001011,GADSDEN SURGERY CENTER LP,418 SOUTH 5TH ST,GADSDEN,AL,35901,,(256) 543-1253,98,2,0,99,94,5,1,96,94,5,1,97,93,6,1,97,,725,183,25,10/01/2024,09/30/2025
01C0001013,THE SURGERY CENTER OF HUNTSVILLE,721 MADISON ST,HUNTSVILLE,AL,35801,,(256) 533-4888,98,2,0,99,93,6,1,96,93,4,3,95,87,12,1,95,3,813,248,31,10/01/2024,09/30/2025
01C0001014,OUTPATIENT SERVICES EAST,52 MEDICAL PARK DR. EAST,BIRMINGHAM,AL,35235,,(205) 838-3888,97,3,0,98,94,4,2,96,92,7,1,96,87,11,2,95,3,575,114,20,10/01/2024,09/30/2025
01C0001017,TUSCALOOSA SURGICAL CENTER LP,1400 MCFARLAND BLVD NORTH,TUSCALOOSA,AL,35406,,(205) 750-2109,98,2,0,99,95,4,1,97,93,7,0,97,94,6,0,98,3,729,217,30,10/01/2024,09/30/2025
01C0001018,DECATUR AMBULATORY SURGERY CENTER,2828 US HWY 31,DECATUR,AL,35603,,(256) 340-1212,95,4,1,97,89,8,3,93,83,13,4,92,78,18,4,91,3,1363,310,23,10/01/2024,09/30/2025
01C0001020,MEDPLEX OUTPATIENT SURGERY CENTER LTD,4511 SOUTHLAKE PARKWAY,BIRMINGHAM,AL,35244,,(205) 985-4398,95,4,1,97,92,5,3,95,87,9,4,93,88,10,2,95,,927,210,23,10/01/2024,09/30/2025
01C0001021,SPRINGHILL SURGERY CENTER,3701 DAUPHIN ST.,MOBILE,AL,36608,,(251) 340-6919,97,2,1,98,94,5,1,97,86,13,1,95,88,11,1,96,3,590,110,19,10/01/2024,09/30/2025
01C0001022,FLORENCE SURGERY CENTER LP,103 HELTON CT,FLORENCE,AL,35630,,(256) 760-0672,97,3,0,98,91,8,1,95,84,14,2,94,85,13,2,94,3,834,234,28,10/01/2024,09/30/2025
01C0001024,TUSCALOOSA ENDOSCOPY CENTER,100 RICE MINE RD NORTHEAST SUITE E,TUSCALOOSA,AL,35406,,(205) 345-0010,94,5,1,97,91,7,2,95,79,18,3,92,80,17,3,91,"3,6",559,96,17,10/01/2024,09/30/2025
01C0001026,MONTGOMERY EYE SURGERY CENTER LLC,2752 ZELDA RD,MONTGOMERY,AL,36106,,(334) 270-6977,97,3,0,98,94,5,1,96,89,9,2,95,89,8,3,95,,3281,1040,32,10/01/2024,09/30/2025
01C0001027,BIRMINGHAM SURGERY CENTER,2621 19TH ST SOUTH,BIRMINGHAM,AL,35209,,(205) 271-8200,97,3,0,98,94,5,1,97,88,10,2,95,87,12,1,95,3,2652,662,25,10/01/2024,09/30/2025
01C0001029,NORTH RIVER SURGICAL CENTER LLC,301 RICE MINE RD NE,TUSCALOOSA,AL,35406,,(205) 750-0022,98,1,1,98,94,5,1,96,93,5,2,96,94,4,2,97,3,574,138,24,10/01/2024,09/30/2025
