"Facility ID","Facility Name","MSA","MSA Title","HCAHPS HLMR","HCAHPS HLMR Percentile","HCAHPS Start Date","HCAHPS End Date","HCAHPS Footnote","COMP-HIP-KNEE","COMP-HIP-KNEE Percentile","COMP Start Date","COMP End Date","COMP Footnote","PRO","PRO Start Date","PRO End Date","Reconciliation Footnote"
010023,BAPTIST MEDICAL CENTER SOUTH,33860,"Montgomery, AL",84.69,53%,07/01/2023,06/30/2024,,4.29536,18%,04/01/2021,03/31/2024,,N,07/01/2022,06/30/2023,
040026,CHI ST. VINCENT HOSPITAL HOT SPRINGS,26300,"Hot Springs, AR",84.13,46%,07/01/2023,06/30/2024,,3.05659,81%,04/01/2021,03/31/2024,,N,07/01/2022,06/30/2023,
040078,NATIONAL PARK MEDICAL CENTER,26300,"Hot Springs, AR",80.31,10%,07/01/2023,06/30/2024,,3.60857,47%,04/01/2021,03/31/2024,,N,07/01/2022,06/30/2023,
050056,ANTELOPE VALLEY HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",78.13,4%,07/01/2023,06/30/2024,,N/A,N/A,04/01/2021,03/31/2024,1,N,07/01/2022,06/30/2023,
050069,PROVIDENCE ST JOSEPH HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",85.63,66%,07/01/2023,06/30/2024,,4.69222,9%,04/01/2021,03/31/2024,,N,07/01/2022,06/30/2023,
050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,31080,"Los Angeles-Long Beach-Anaheim, CA",83.75,40%,07/01/2023,06/30/2024,,N/A,N/A,04/01/2021,03/31/2024,1,N,07/01/2022,06/30/2023,
050096,WEST COVINA MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",N/A,N/A,07/01/2023,06/30/2024,***,N/A,N/A,04/01/2021,03/31/2024,,N,07/01/2022,06/30/2023,**
050104,SAINT FRANCIS MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",79.81,8%,07/01/2023,06/30/2024,,N/A,N/A,04/01/2021,03/31/2024,1,N,07/01/2022,06/30/2023,
050116,NORTHRIDGE HOSPITAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",82.5,26%,07/01/2023,06/30/2024,,3.78581,39%,04/01/2021,03/31/2024,,N,07/01/2022,06/30/2023,
050124,USC VERDUGO HILLS HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",82.63,27%,07/01/2023,06/30/2024,,3.48305,55%,04/01/2021,03/31/2024,,N,07/01/2022,06/30/2023,
