% Change in Base Operating DRG Payment Amount,Number of Hospitals Receiving this % Change
'1.0%<x',444
'0.9%<x<=1.0%',47
'0.8%<x<=0.9%',57
'0.7%<x<=0.8%',53
'0.6%<x<=0.7%',74
'0.5%<x<=0.6%',68
'0.4%<x<=0.5%',88
'0.3%<x<=0.4%',112
'0.2%<x<=0.3%',90
'0.1%<x<=0.2%',82
'0.0%<x<=0.1%',117
'0.00%',0
-0.1%<=x<-0.0%',97
-0.2%<=x<-0.1%',124
-0.3%<=x<-0.2%',103
-0.4%<=x<-0.3%',110
-0.5%<=x<-0.4%',102
-0.6%<=x<-0.5%',130
-0.7%<=x<-0.6%',116
-0.8%<=x<-0.7%',89
-0.9%<=x<-0.8%',76
-1.0%<=x<-0.9%',72
x<-1.0%',212
