Incentive Payment Range,Number of Hospitals Receiving this Range
">$1,000,000",467
"$950,001 to $1,000,000",23
"$900,001 to $950,000",45
"$850,001 to $900,000",30
"$800,001 to $850,000",46
"$750,001 to $800,000",54
"$700,001 to $750,000",56
"$650,001 to $700,000",66
"$600,001 to $650,000",76
"$550,001 to $600,000",73
"$500,001 to $550,000",74
"$450,001 to $500,000",89
"$400,001 to $450,000",97
"$350,001 to $400,000",110
"$300,001 to $350,000",129
"$250,001 to $300,000",142
"$200,001 to $250,000",148
"$150,001 to $200,000",189
"$100,001 to $150,000",194
"$50,001 to $100,000",218
"$1 to $50,000",134
$0 to $0,3
,
Maximum Value Based Incentive Payment Amount:,"$14,126,447.33"
Number of Hospitals Receiving the Maximum Value Based Incentive Payment in FY 2024:,1
