CMS Certification Number (CCN),Measure Code,Score,Footnote,Start Date,End Date,Measure Date Range
NATION,L_006_01_NATL_SIR,0.697,-,10/01/2024,09/30/2025,-
NATION,L_007_01_NATL_SIR,0.672,-,10/01/2024,09/30/2025,-
NATION,L_011_06_NATL_OBS_RATE,6.26,-,01/01/2024,12/31/2025,-
NATION,L_012_01_NATL_OBS_RATE,0.09,-,01/01/2025,12/31/2025,-
NATION,L_014_01_NATL_SIR,0.243,-,10/01/2024,09/30/2025,-
NATION,L_015_01_NATL_OBS_RATE,69.40,-,10/01/2024,03/31/2025,-
NATION,L_017_01_PPR_PD_NATL_OBS_RATE,22.39,-,10/01/2023,09/30/2025,-
NATION,L_017_01_PPR_PD_N_BETTER_NATL,5,-,10/01/2023,09/30/2025,-
NATION,L_017_01_PPR_PD_N_NO_DIFF_NATL,304,-,10/01/2023,09/30/2025,-
NATION,L_017_01_PPR_PD_N_TOO_SMALL,19,-,10/01/2023,09/30/2025,-
NATION,L_017_01_PPR_PD_N_WORSE_NATL,8,-,10/01/2023,09/30/2025,-
NATION,L_018_02_DTC_NATL_OBS_RATE,15.24,-,10/01/2023,09/30/2025,-
NATION,L_018_02_DTC_N_BETTER_NATL,33,-,10/01/2023,09/30/2025,-
NATION,L_018_02_DTC_N_NO_DIFF_NATL,243,-,10/01/2023,09/30/2025,-
NATION,L_018_02_DTC_N_TOO_SMALL,20,-,10/01/2023,09/30/2025,-
NATION,L_018_02_DTC_N_WORSE_NATL,41,-,10/01/2023,09/30/2025,-
NATION,L_019_01_NATL_MSPB_SCORE,1.00,-,10/01/2022,09/30/2024,-
NATION,L_020_01_NATL_OBS_RATE,95.80,-,01/01/2025,12/31/2025,-
NATION,L_021_01_NATL_OBS_RATE,2.33,-,01/01/2025,12/31/2025,-
NATION,L_022_02_NATL_OBS_RATE_C1,96.04,-,01/01/2025,12/31/2025,-
NATION,L_022_02_NATL_OBS_RATE_C2,97.43,-,01/01/2025,12/31/2025,-
NATION,L_023_03_NATL_OBS_RATE,54.93,-,01/01/2025,12/31/2025,-
NATION,L_024_02_NATL_OBS_RATE,4.60,-,10/01/2025,12/31/2025,-
NATION,L_025_01_NATL_OBS_RATE,82.96,-,01/01/2025,12/31/2025,-
NATION,L_026_02_NATL_OBS_RATE,88.61,-,01/01/2025,12/31/2025,-
NATION,L_027_01_NATL_OBS_RATE,48.22,-,01/01/2025,12/31/2025,-
NATION,L_028_02_NATL_OBS_RATE,11.61,-,10/01/2025,12/31/2025,-
