CMS Certification Number (CCN),Provider Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Measure Code,Score,Footnote,Start Date,End Date,Measure Date Range
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_006_01_CI_LOWER,0.729,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_006_01_CI_UPPER,4.410,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_006_01_COMP_PERF,No Different than the National Benchmark,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_006_01_DOPC_DAYS,"2,418",-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_006_01_ELIGCASES,2.513,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_006_01_NUMERATOR,5,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_006_01_SIR,1.990,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_007_01_CI_LOWER,0.038,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_007_01_CI_UPPER,3.725,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_007_01_COMP_PERF,No Different than the National Benchmark,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_007_01_DOPC_DAYS,"2,007",-,10/01/2024,09/30/2025,-
