"Facility ID","Facility Name","Hospital Type","Address","City/Town","State","ZIP Code","County/Parish","Measure ID","Measure Description","Total Cases","Rate","Footnote","Start Date","End Date"
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-42,Essential process of documenting goals of care conversations in the electronic health record (EHR) by assessing the presence of this documentation in the medical record.,365,52,,01/01/2024,12/31/2024
050660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-42,Essential process of documenting goals of care conversations in the electronic health record (EHR) by assessing the presence of this documentation in the medical record.,62,39,,01/01/2024,12/31/2024
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-42,Essential process of documenting goals of care conversations in the electronic health record (EHR) by assessing the presence of this documentation in the medical record.,172,74,,01/01/2024,12/31/2024
100271,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I,Acute Care Hospitals,12902 MAGNOLIA DR,TAMPA,FL,33612,HILLSBOROUGH,PCH-42,Essential process of documenting goals of care conversations in the electronic health record (EHR) by assessing the presence of this documentation in the medical record.,342,66,,01/01/2024,12/31/2024
220162,DANA-FARBER CANCER INSTITUTE,Acute Care Hospitals,450 BROOKLINE AVENUE,BOSTON,MA,02115,SUFFOLK,PCH-42,Essential process of documenting goals of care conversations in the electronic health record (EHR) by assessing the presence of this documentation in the medical record.,34,50,,01/01/2024,12/31/2024
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-42,Essential process of documenting goals of care conversations in the electronic health record (EHR) by assessing the presence of this documentation in the medical record.,852,56,,01/01/2024,12/31/2024
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-42,Essential process of documenting goals of care conversations in the electronic health record (EHR) by assessing the presence of this documentation in the medical record.,193,94,,01/01/2024,12/31/2024
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-42,Essential process of documenting goals of care conversations in the electronic health record (EHR) by assessing the presence of this documentation in the medical record.,240,81,,01/01/2024,12/31/2024
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-42,Essential process of documenting goals of care conversations in the electronic health record (EHR) by assessing the presence of this documentation in the medical record.,105,70,,01/01/2024,12/31/2024
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-42,Essential process of documenting goals of care conversations in the electronic health record (EHR) by assessing the presence of this documentation in the medical record.,1007,94,,01/01/2024,12/31/2024
500138,FRED HUTCHINSON CANCER INSTITUTE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-42,Essential process of documenting goals of care conversations in the electronic health record (EHR) by assessing the presence of this documentation in the medical record.,Not Available,Not Available,1,01/01/2024,12/31/2024
