"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Measure Name","Achievement Measure Ratio","SHR Measure Score","SHR Reason for No Score (See Footnotes File)","State Average SHR Measure Score","National Average SHR Measure Score"
"032302 MARICOPA MEDICAL CTR - DIALYSIS","032302","030022","2525 E ROOSEVELT ST","PHOENIX","AZ","85008","Network 15","Standardized Hospitalization Ratio","140.68","3","-","3","3"
"032314 PHOENIX CHILDRENS HOSPITAL- DIALYSIS CENTER","032314","033302","1920 E CAMBRIDGE RD STE 102","PHOENIX","AZ","85016","Network 15","Standardized Hospitalization Ratio","143.75","3","-","3","3"
"032315 GILA RIVER DIALYSIS EAST","032315","031308","565 W SEED FARM RD","SACATON","AZ","85147","Network 15","Standardized Hospitalization Ratio","163.93","1","-","3","3"
"032316 Banner University Medical Center Pediatric Outpatient DIALYSIS UNIT","032316","030064","PO BOX 245148","TUCSON","AZ","85724","Network 15","Standardized Hospitalization Ratio","No Rate","No Score","13","3","3"
"032503 PHOENIX ARTIFICIAL KIDNEY CENTER (FMC)","032503","-","13090 N 94TH DR STE 100","PEORIA","AZ","85381","Network 15","Standardized Hospitalization Ratio","136.65","4","-","3","3"
"032508 SOUTH PHOENIX DIALYSIS SERVICES (FMC)","032508","-","1021 S 7TH AVE STE 108","PHOENIX","AZ","85007","Network 15","Standardized Hospitalization Ratio","236.58","0","-","3","3"
"032509 EAST VALLEY DIALYSIS (FMC)","032509","-","135 S POWER RD STE 103","MESA","AZ","85206","Network 15","Standardized Hospitalization Ratio","141.65","3","-","3","3"
"032514 DESERT DIALYSIS CENTER (DCI)","032514","-","2022 E PRINCE RD","TUCSON","AZ","85719","Network 15","Standardized Hospitalization Ratio","150.85","2","-","3","3"
"032516 CHANDLER DIALYSIS (FMC)","032516","-","912 W CHANDLER BLVD BLDG A-D","CHANDLER","AZ","85225","Network 15","Standardized Hospitalization Ratio","178.12","0","-","3","3"
"032517 CENTRAL PHX DIALYSIS (FMC)","032517","-","3421 N 7TH AVE","PHOENIX","AZ","85013","Network 15","Standardized Hospitalization Ratio","207.48","0","-","3","3"
"032521 DIALYSIS CENTER OF GLENDALE (FMC)","032521","-","5957 W NORTHERN AVE STE 108","GLENDALE","AZ","85301","Network 15","Standardized Hospitalization Ratio","159.44","1","-","3","3"
"032522 PARKER DIALYSIS CENTER (FMC)","032522","-","AGENCY ROAD BLDG 173","PARKER","AZ","85344","Network 15","Standardized Hospitalization Ratio","193.50","0","-","3","3"
"032524 FLAGSTAFF DIALYSIS CENTER (FMC)","032524","-","2201 N VICKEY STREET, STE 120","FLAGSTAFF","AZ","86004","Network 15","Standardized Hospitalization Ratio","120.84","6","-","3","3"
"032526 USRC SOUTHWEST MESA","032526","-","1457 W SOUTHERN AVE STE 19","MESA","AZ","85202","Network 15","Standardized Hospitalization Ratio","188.12","1","-","3","3"
"032528 THUNDERBIRD DIALYSIS (FMC)","032528","-","5750 W THUNDERBIRD RD BLDG G #750","GLENDALE","AZ","85306","Network 15","Standardized Hospitalization Ratio","164.95","1","-","3","3"
"032530 DESERT VALLEY DIALYSIS (FMC)","032530","-","3815 E. BELL ROAD STE. 1100","PHOENIX","AZ","85032","Network 15","Standardized Hospitalization Ratio","192.15","2","-","3","3"
"032533 GLOBE DIALYSIS (FMC)","032533","-","2250 HIGHWAY 60 STE O-2","MIAMI","AZ","85539","Network 15","Standardized Hospitalization Ratio","125.31","5","-","3","3"
"032536 WINSLOW DIALYSIS CENTER (FMC)","032536","-","721 MIKE'S PIKE STREET","WINSLOW","AZ","86047","Network 15","Standardized Hospitalization Ratio","117.09","6","-","3","3"
"032537 ESTRELLA DIALYSIS CENTER (FMC)","032537","-","5546 W ROOSEVELT ST STE 1","PHOENIX","AZ","85043","Network 15","Standardized Hospitalization Ratio","155.35","2","-","3","3"
"032539 MESA DIALYSIS CENTER (FMC)","032539","-","1525 N GILBERT RD STE 121","GILBERT","AZ","85234","Network 15","Standardized Hospitalization Ratio","170.15","0","-","3","3"
"032540 FRESENIUS KIDNEY CARE WESTERN SKIES","032540","-","1041 N ARIZOLA RD","CASA GRANDE","AZ","85122","Network 15","Standardized Hospitalization Ratio","130.01","6","-","3","3"
"032541 TEMPE DIALYSIS (FMC)","032541","-","1449 W SOUTHERN AVE","TEMPE","AZ","85282","Network 15","Standardized Hospitalization Ratio","179.88","2","-","3","3"
"032542 ARCADIA DIALYSIS CENTER (FMC)","032542","-","4021 N. 30TH STREET","PHOENIX","AZ","85016","Network 15","Standardized Hospitalization Ratio","82.80","10","-","3","3"
"032544 LAKE HAVASU DIALYSIS (FMC)","032544","-","2145 MESQUITE AVE","LAKE HAVASU CITY","AZ","86403","Network 15","Standardized Hospitalization Ratio","88.97","9","-","3","3"
"032545 SOUTH MOUNTAIN DIALYSIS CENTER (FMC)","032545","-","26 E BASELINE STE 142","PHOENIX","AZ","85042","Network 15","Standardized Hospitalization Ratio","108.41","7","-","3","3"
"032546 SUN CITY WEST DIALYSIS (FMC)","032546","-","12213 W BELL ROAD STE 110","SURPRISE","AZ","85374","Network 15","Standardized Hospitalization Ratio","112.38","7","-","3","3"
"032549 SAFFORD DIALYSIS (FMC)","032549","-","1250 S 20TH AVE","SAFFORD","AZ","85546","Network 15","Standardized Hospitalization Ratio","99.49","8","-","3","3"
"032550 NORTH PHOENIX DIALYSIS (FMC)","032550","-","1957 W DUNLAP AVE STE 6C","PHOENIX","AZ","85021","Network 15","Standardized Hospitalization Ratio","207.82","0","-","3","3"
"032551 USRC MESA DIALYSIS","032551","-","1337 S GILBERT RD STE 109","MESA","AZ","85204","Network 15","Standardized Hospitalization Ratio","146.64","5","-","3","3"
"032558 BULLHEAD CITY DIALYSIS (FMC)","032558","-","2650 MIRACLE MILE","BULLHEAD CITY","AZ","86442","Network 15","Standardized Hospitalization Ratio","152.27","2","-","3","3"
"032561 CASA GRANDE DIALYSIS (FMC)","032561","-","1875 E SABIN DR","CASA GRANDE","AZ","85122","Network 15","Standardized Hospitalization Ratio","165.16","1","-","3","3"
"032563 SCOTTSDALE DIALYSIS (FMC)","032563","-","1495 N HAYDEN STE D1-D4","SCOTTSDALE","AZ","85257","Network 15","Standardized Hospitalization Ratio","No Rate","No Score","13","3","3"
