"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
AK,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,4,0,12
AK,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,9,1,9
AK,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,3,11,0,7
AK,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,7,0,6,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,8,0,6,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,6,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,5,0,1,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,4,0,11,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_CABG,Rate of readmission for CABG,0,1,0,2,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,8,0,13,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,9,0,9,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,4,0,5,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,14,0,7,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,25,0,42
AL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,2,51,5,28
AL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,3,66,3,16
AL,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,65,0,7,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,16,0,36,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,16,0,36,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,43,1,22,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,33,0,36,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_CABG,Rate of readmission for CABG,0,19,0,4,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,62,0,24,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,64,0,23,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,33,0,12,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,76,0,12,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,22,0,32
AR,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,3,42,1,30
AR,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,6,49,5,17
AR,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,48,0,7,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,16,0,27,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,16,0,27,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,32,0,15,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,27,0,23,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_CABG,Rate of readmission for CABG,1,10,0,5,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,41,0,32,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,47,0,24,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,13,0,23,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,62,1,12,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2022,06/30/2025,Not Available,Not Available,Not Available,Not Available
AS,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2022,06/30/2025,Not Available,Not Available,Not Available,Not Available
AS,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2022,06/30/2025,Not Available,Not Available,Not Available,Not Available
AS,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,5,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,37,0,22
AZ,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,2,50,2,22
AZ,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,2,63,1,16
AZ,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,49,0,7,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
