"Name","City","State","Zip"
"MS - Gulf Coast Integrative Health","OCEAN SPRINGS","MS","39564"
"NE - Midlands Family Urgent Care","PAPILLION","NE","68046"
"JOURNEY HEALTHCARE, WELLNESS AND AESTHETICS CLINIC OF IDAHO","Meridian","ID","836429246"
"NJ - PEMCARE, L.L.C.","METUCHEN","NJ","08840"
"Foresee-KEE-YEE-SHUM","FLUSHING","NY","11355"
"Foresee-KhinAungMedical","ELMHURST","NY","11373"
"France Avenue Family Pediatrics","Edina","MN","55435"
"AZ - Noble Healthcare Family Clinic","PRESCOTT","AZ","86305"
"HALLOWELL FAMILY PRACTICE, LLC","HALLOWELL","ME","04347"
"Innovaccer - BOWLING GREEN MEDICAL GROUP","BOWLING GREEN","MO","63334"
"Innovaccer - ADVANCED FAMILY MEDICAL CENTER","MIDDLETON","TN","38052"
"Brookdale Lisle SNF (Divested 1/1/26)","Lisle","IL","60532"
"Altaura Health","Folsom","CA","956304738"
"Optimum Wellbeing Pllc","Belton","TX","765131014"
"THE TYLER BIRTH HOUSE","Tyler","TX","757028203"
"BEYOND CARE PEDIATRICS","Omaha","NE","681302312"
"Simbie Health","Dover","DE","199046903"
"NATIONAL SURGICAL CENTERS STOCKTON LLC","Stockton","CA","952046118"
"Caring Acres Nursing and Rehab Center","Anita","IA","50020"
"AZ - Amsara, LLC","SCOTTSDALE","AZ","85251"
"Innovaccer - GREAT MINES HEALTH CENTER","POTOSI","MO","63664"
"Chamber Cardio - Carolina Heart and Leg Center","FAYETTEVILLE","NC","28304"
"Brookdale Meridian Lakewood SNF (Divested 3/31/26)","Lakewood","CO","80232"
"iMind Mental Health Solutions-Stuart","STUART","FL","34994"
"iMind Mental Health Solutions-Port St Lucie","Port Saint Lucie","FL","34986"
"BEL-RED SLEEP DIAGNOSTIC CENTER","Bellevue","WA","980043801"
"TRUCARE MEDICAL GROUP PLLC","Las Vegas","NV","891063860"
"DR. YASHWANT S. CHAUDHRI","Santee","CA","920714289"
"DUET TECHNOLOGIES INC - VITALE FAMILY HEALTH","New York","NY","100122594"
"GUO HEALTH MANAGEMENT, LLC","Appleton","WI","549111254"
"Virginia Psychiatry","Richmond","VA","232331339"
"PORT JEFF MEDICINE","Port Jefferson Station","NY","117761598"
"Transformation Wellness Center LLC","Grand Junction","CO","815051031"
