"A81001","16C","","20200401","","1"
"A81001","5E1","","20010401","20130331","1"
"A81001","4QP36","","19990401","20010331","1"
"A81001","00K","","20130401","20200331","1"
"A81002","16C","","20200401","","1"
"A81002","5E1","","20010401","20130331","1"
"A81002","4QP36","","19990401","20010331","1"
"A81002","00K","","20130401","20200331","1"
"A81003","4FC32","","19990401","20010331","1"
"A81003","5D9","","20010401","20130331","1"
"A81003","00K","","20130401","20171031","1"
"A81004","16C","","20200401","","1"
"A81004","5KM","","20020401","20130331","1"
"A81004","4DD23","","19990401","20020331","1"
"A81004","00M","","20130401","20200331","1"
"A81005","16C","","20200401","","1"
"A81005","5KN","","20020401","20060930","1"
"A81005","5QR","","20061001","20130331","1"
"A81005","4XA29","","19990401","20020331","1"
"A81005","00M","","20130401","20200331","1"
"A81006","16C","","20200401","","1"
"A81006","5E1","","20010401","20130331","1"
"A81006","4QP36","","19990401","20010331","1"
"A81006","00K","","20130401","20200331","1"
"A81007","16C","","20200401","","1"
"A81007","4FC32","","19990401","20010331","1"
"A81007","5D9","","20010401","20130331","1"
"A81007","00K","","20130401","20200331","1"
"A81008","5KM","","20020401","20060930","1"
"A81008","4DD23","","19990401","20020331","1"
"A81008","5QR","","20061001","20130331","1"
"A81008","00M","","20130401","20180131","1"
"A81009","16C","","20200401","","1"
"A81009","5KM","","20020401","20130331","1"
"A81009","4DD23","","19990401","20020331","1"
"A81009","00M","","20130401","20200331","1"
"A81011","16C","","20200401","","1"
"A81011","4FC32","","19990401","20010331","1"
"A81011","5D9","","20010401","20130331","1"
"A81011","00K","","20130401","20200331","1"
"A81012","16C","","20200401","","1"
"A81012","5KM","","20020401","20130331","1"
"A81012","4DD23","","19990401","20020331","1"
"A81012","00M","","20130401","20200331","1"
"A81013","16C","","20200401","","1"
"A81013","5KN","","20020401","20060930","1"
"A81013","5QR","","20061001","20130331","1"
"A81013","4XA29","","19990401","20020331","1"
"A81013","00M","","20130401","20200331","1"
"A81014","16C","","20200401","","1"
"A81014","5E1","","20010401","20130331","1"
"A81014","4QP36","","19990401","20010331","1"
"A81014","00K","","20130401","20200331","1"
"A81015","5KN","","20020401","20060930","1"
"A81015","5QR","","20061001","20130331","1"
"A81015","4XA29","","19990401","20020331","1"
"A81015","00M","","20130401","20190430","1"
"A81016","16C","","20200401","","1"
"A81016","5KM","","20020401","20130331","1"
"A81016","4DD23","","19990401","20020331","1"
"A81016","00M","","20130401","20200331","1"
"A81017","16C","","20200401","","1"
"A81017","5E1","","20010401","20130331","1"
"A81017","4QP36","","19990401","20010331","1"
"A81017","00K","","20130401","20200331","1"
"A81018","16C","","20200401","","1"
"A81018","5KN","","20020401","20060930","1"
"A81018","5QR","","20061001","20130331","1"
"A81018","4XA29","","19990401","20020331","1"
"A81018","00M","","20130401","20200331","1"
"A81019","16C","","20200401","","1"
"A81019","5KM","","20020401","20130331","1"
"A81019","4DD23","","19990401","20020331","1"
"A81019","00M","","20130401","20200331","1"
"A81020","16C","","20200401","","1"
"A81020","5KM","","20020401","20130331","1"
"A81020","4DD23","","19990401","20020331","1"
"A81020","00M","","20130401","20200331","1"
"A81021","16C","","20200401","","1"
"A81021","5KM","","20020401","20060930","1"
"A81021","4DD23","","19990401","20020331","1"
"A81021","5QR","","20061001","20130331","1"
"A81021","00M","","20130401","20200331","1"
"A81022","16C","","20200401","","1"
"A81022","5KN","","20020401","20060930","1"
"A81022","5QR","","20061001","20130331","1"
"A81022","4XA29","","19990401","20020331","1"
"A81022","00M","","20130401","20200331","1"
"A81023","16C","","20200401","","1"
"A81023","5KM","","20020401","20130331","1"
"A81023","4DD23","","19990401","20020331","1"
"A81023","00M","","20130401","20200331","1"
"A81025","16C","","20200401","","1"
"A81025","5E1","","20010401","20130331","1"
"A81025","4QP36","","19990401","20010331","1"
"A81025","00K","","20130401","20200331","1"
"A81026","16C","","20200401","","1"
"A81026","5KM","","20020401","20130331","1"
"A81026","4DD23","","19990401","20020331","1"
"A81026","00M","","20130401","20200331","1"
"A81027","16C","","20200401","","1"
"A81027","5E1","","20010401","20130331","1"
"A81027","4QP36","","19990401","20010331","1"
"A81027","00K","","20130401","20200331","1"
"A81029","16C","","20200401","","1"
"A81029","5KM","","20020401","20130331","1"
"A81029","4DD23","","19990401","20020331","1"
"A81029","00M","","20130401","20200331","1"
"A81030","16C","","20200401","","1"
"A81030","5KM","","20020401","20130331","1"
"A81030","4DD23","","19990401","20020331","1"
"A81030","00M","","20130401","20200331","1"
"A81031","16C","","20200401","","1"
"A81031","4FC32","","19990401","20010331","1"
"A81031","5D9","","20010401","20130331","1"
"A81031","00K","","20130401","20200331","1"
"A81032","16C","","20200401","","1"
"A81032","5KN","","20020401","20060930","1"
"A81032","5QR","","20061001","20130331","1"
"A81032","4XA29","","19990401","20020331","1"
"A81032","00M","","20130401","20200331","1"
"A81033","5KM","","20020401","20130331","1"
"A81033","4DD23","","19990401","20020331","1"
"A81033","00M","","20130401","20190430","1"
"A81034","16C","","20200401","","1"
"A81034","5E1","","20010401","20130331","1"
"A81034","4QP36","","19990401","20010331","1"
"A81034","00K","","20130401","20200331","1"
"A81035","16C","","20200401","","1"
"A81035","5KM","","20020401","20130331","1"
"A81035","4DD23","","19990401","20020331","1"
"A81035","00M","","20130401","20200331","1"
"A81036","16C","","20200401","","1"
"A81036","5E1","","20010401","20130331","1"
"A81036","4QP36","","19990401","20010331","1"
"A81036","00K","","20130401","20200331","1"
"A81037","16C","","20200401","","1"
"A81037","5KM","","20020401","20130331","1"
"A81037","4DD23","","19990401","20020331","1"
"A81037","00M","","20130401","20200331","1"
"A81038","16C","","20200401","","1"
"A81038","5KM","","20020401","20130331","1"
"A81038","4DD23","","19990401","20020331","1"
"A81038","00M","","20130401","20200331","1"
"A81039","16C","","20200401","","1"
"A81039","5E1","","20010401","20130331","1"
"A81039","4QP36","","19990401","20010331","1"
"A81039","00K","","20130401","20200331","1"
"A81040","16C","","20200401","","1"
"A81040","5E1","","20010401","20130331","1"
"A81040","4QP36","","19990401","20010331","1"
"A81040","00K","","20130401","20200331","1"
"A81041","16C","","20200401","","1"
"A81041","4FC32","","19990401","20010331","1"
"A81041","5D9","","20010401","20130331","1"
"A81041","00K","","20130401","20200331","1"
"A81042","16C","","20200401","","1"
"A81042","5KM","","20020401","20060930","1"
"A81042","4DD23","","19990401","20020331","1"
"A81042","5QR","","20061001","20130331","1"
"A81042","00M","","20130401","20200331","1"
"A81043","16C","","20200401","20240630","1"
"A81043","5KM","","20020401","20060930","1"
"A81043","4DD23","","19990401","20020331","1"
"A81043","5QR","","20061001","20130331","1"
"A81043","00M","","20130401","20200331","1"
"A81044","16C","","20200401","","1"
"A81044","4FC32","","19990401","20010331","1"
"A81044","5D9","","20010401","20130331","1"
"A81044","00K","","20130401","20200331","1"
"A81045","16C","","20200401","","1"
"A81045","5KN","","20020401","20060930","1"
"A81045","5QR","","20061001","20130331","1"
"A81045","4XA29","","19990401","20020331","1"
"A81045","00M","","20130401","20200331","1"
"A81046","16C","","20200401","","1"
"A81046","5E1","","20010401","20130331","1"
"A81046","4QP36","","19990401","20010331","1"
"A81046","00K","","20130401","20200331","1"
"A81047","5KN","","20020401","20060930","1"
"A81047","5QR","","20061001","20130331","1"
"A81047","4XA29","","19990401","20020331","1"
"A81047","00M","","20130401","20180930","1"
"A81048","16C","","20200401","","1"
"A81048","5KN","","20020401","20060930","1"
"A81048","5QR","","20061001","20130331","1"
"A81048","4XA29","","19990401","20020331","1"
"A81048","00M","","20130401","20200331","1"
"A81049","16C","","20200401","","1"
"A81049","5KM","","20020401","20130331","1"
"A81049","4DD23","","19990401","20020331","1"
"A81049","00M","","20130401","20200331","1"
"A81051","16C","","20200401","","1"
"A81051","5KM","","20020401","20130331","1"
"A81051","4DD23","","19990401","20020331","1"
"A81051","00M","","20130401","20200331","1"
"A81052","16C","","20200401","","1"
"A81052","5KN","","20020401","20060930","1"
"A81052","5QR","","20061001","20130331","1"
"A81052","4XA29","","19990401","20020331","1"
"A81052","00M","","20130401","20200331","1"
"A81053","16C","","20200401","","1"
"A81053","5KN","","20020401","20060930","1"
"A81053","5QR","","20061001","20130331","1"
"A81053","4XA29","","19990401","20020331","1"
"A81053","00M","","20130401","20200331","1"
"A81054","16C","","20200401","","1"
"A81054","5KN","","20020401","20060930","1"
"A81054","5QR","","20061001","20130331","1"
"A81054","4XA29","","19990401","20020331","1"
"A81054","00M","","20130401","20200331","1"
"A81056","16C","","20200401","","1"
"A81056","5E1","","20010401","20130331","1"
"A81056","4QP36","","19990401","20010331","1"
"A81056","00K","","20130401","20200331","1"
