"Fiscal Year","Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","MORT-30-AMI Achievement Threshold","MORT-30-AMI Benchmark","MORT-30-AMI Baseline Rate","MORT-30-AMI Performance Rate","MORT-30-AMI Achievement Points","MORT-30-AMI Improvement Points","MORT-30-AMI Measure Score","MORT-30-HF Achievement Threshold","MORT-30-HF Benchmark","MORT-30-HF Baseline Rate","MORT-30-HF Performance Rate","MORT-30-HF Achievement Points","MORT-30-HF Improvement Points","MORT-30-HF Measure Score","MORT-30-PN Achievement Threshold","MORT-30-PN Benchmark","MORT-30-PN Baseline Rate","MORT-30-PN Performance Rate","MORT-30-PN Achievement Points","MORT-30-PN Improvement Points","MORT-30-PN Measure Score","MORT-30-COPD Achievement Threshold","MORT-30-COPD Benchmark","MORT-30-COPD Baseline Rate","MORT-30-COPD Performance Rate","MORT-30-COPD Achievement Points","MORT-30-COPD Improvement Points","MORT-30-COPD Measure Score","MORT-30-CABG Achievement Threshold","MORT-30-CABG Benchmark","MORT-30-CABG Baseline Rate","MORT-30-CABG Performance Rate","MORT-30-CABG Achievement Points","MORT-30-CABG Improvement Points","MORT-30-CABG Measure Score","COMP-HIP-KNEE Achievement Threshold","COMP-HIP-KNEE Benchmark","COMP-HIP-KNEE Baseline Rate","COMP-HIP-KNEE Performance Rate","COMP-HIP-KNEE Achievement Points","COMP-HIP-KNEE Improvement Points","COMP-HIP-KNEE Measure Score"
2026,010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,0.874426,0.890687,0.882417,0.884842,6 out of 10,2 out of 9,6 out of 10,0.885949,0.912874,0.884091,0.885556,0 out of 10,0 out of 9,0 out of 10,0.843369,0.877097,0.843955,0.817638,0 out of 10,0 out of 9,0 out of 10,0.914691,0.932157,0.916271,0.902938,0 out of 10,0 out of 9,0 out of 10,0.970568,0.980473,0.952651,0.969655,0 out of 10,6 out of 9,6 out of 10,0.024019,0.016873,0.022755,Not Available,Not Available,Not Available,Not Available
2026,010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,0.874426,0.890687,0.863123,Not Available,Not Available,Not Available,Not Available,0.885949,0.912874,0.839635,0.857034,0 out of 10,2 out of 9,2 out of 10,0.843369,0.877097,0.805876,0.786160,0 out of 10,0 out of 9,0 out of 10,0.914691,0.932157,0.909185,0.903044,0 out of 10,0 out of 9,0 out of 10,0.970568,0.980473,Not Available,Not Available,Not Available,Not Available,Not Available,0.024019,0.016873,0.022954,0.028183,0 out of 10,0 out of 9,0 out of 10
2026,010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,0.874426,0.890687,0.846499,0.855044,0 out of 10,1 out of 9,1 out of 10,0.885949,0.912874,0.869563,0.869587,0 out of 10,0 out of 9,0 out of 10,0.843369,0.877097,0.820961,0.804476,0 out of 10,0 out of 9,0 out of 10,0.914691,0.932157,0.907195,0.909993,0 out of 10,1 out of 9,1 out of 10,0.970568,0.980473,0.958780,0.946456,0 out of 10,0 out of 9,0 out of 10,0.024019,0.016873,0.028330,0.043971,0 out of 10,0 out of 9,0 out of 10
2026,010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DEKALB,0.874426,0.890687,0.866151,0.872181,0 out of 10,2 out of 9,2 out of 10,0.885949,0.912874,0.854975,0.849953,0 out of 10,0 out of 9,0 out of 10,0.843369,0.877097,0.825479,0.803215,0 out of 10,0 out of 9,0 out of 10,0.914691,0.932157,0.924036,0.902182,0 out of 10,0 out of 9,0 out of 10,0.970568,0.980473,Not Available,Not Available,Not Available,Not Available,Not Available,0.024019,0.016873,Not Available,0.050821,0 out of 10,Not Available,0 out of 10
2026,010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,0.874426,0.890687,0.879108,0.859864,0 out of 10,0 out of 9,0 out of 10,0.885949,0.912874,0.877525,0.888999,2 out of 10,3 out of 9,3 out of 10,0.843369,0.877097,0.847714,0.825842,0 out of 10,0 out of 9,0 out of 10,0.914691,0.932157,0.915147,0.903856,0 out of 10,0 out of 9,0 out of 10,0.970568,0.980473,0.972828,0.978424,8 out of 10,7 out of 9,8 out of 10,0.024019,0.016873,0.025647,0.047310,0 out of 10,0 out of 9,0 out of 10
2026,010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,0.874426,0.890687,0.868829,Not Available,Not Available,Not Available,Not Available,0.885949,0.912874,0.879549,0.807033,0 out of 10,0 out of 9,0 out of 10,0.843369,0.877097,0.827377,0.819439,0 out of 10,0 out of 9,0 out of 10,0.914691,0.932157,0.929034,0.910405,0 out of 10,0 out of 9,0 out of 10,0.970568,0.980473,Not Available,Not Available,Not Available,Not Available,Not Available,0.024019,0.016873,0.024027,0.041082,0 out of 10,0 out of 9,0 out of 10
2026,010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,0.874426,0.890687,0.872313,0.871159,0 out of 10,0 out of 9,0 out of 10,0.885949,0.912874,0.881242,0.866328,0 out of 10,0 out of 9,0 out of 10,0.843369,0.877097,0.797390,0.823375,0 out of 10,3 out of 9,3 out of 10,0.914691,0.932157,0.904536,0.912105,0 out of 10,2 out of 9,2 out of 10,0.970568,0.980473,0.954524,0.981224,10 out of 10,9 out of 9,10 out of 10,0.024019,0.016873,0.018693,0.033326,0 out of 10,0 out of 9,0 out of 10
2026,010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,0.874426,0.890687,0.857554,0.882445,5 out of 10,7 out of 9,7 out of 10,0.885949,0.912874,0.874743,0.867051,0 out of 10,0 out of 9,0 out of 10,0.843369,0.877097,0.847617,0.789234,0 out of 10,0 out of 9,0 out of 10,0.914691,0.932157,0.900439,0.917514,2 out of 10,5 out of 9,5 out of 10,0.970568,0.980473,0.959916,0.970424,0 out of 10,5 out of 9,5 out of 10,0.024019,0.016873,0.034177,Not Available,Not Available,Not Available,Not Available
2026,010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,0.874426,0.890687,0.868658,0.866137,0 out of 10,0 out of 9,0 out of 10,0.885949,0.912874,0.860584,0.857102,0 out of 10,0 out of 9,0 out of 10,0.843369,0.877097,0.807501,0.828235,0 out of 10,2 out of 9,2 out of 10,0.914691,0.932157,0.919547,0.887736,0 out of 10,0 out of 9,0 out of 10,0.970568,0.980473,0.967095,0.964916,0 out of 10,0 out of 9,0 out of 10,0.024019,0.016873,0.033426,0.028964,0 out of 10,2 out of 9,2 out of 10
2026,010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,0.874426,0.890687,0.874271,0.889357,9 out of 10,9 out of 9,9 out of 10,0.885949,0.912874,0.901288,0.891664,2 out of 10,0 out of 9,2 out of 10,0.843369,0.877097,0.874044,0.846914,1 out of 10,0 out of 9,1 out of 10,0.914691,0.932157,0.924128,0.901051,0 out of 10,0 out of 9,0 out of 10,0.970568,0.980473,0.979239,0.975860,5 out of 10,0 out of 9,5 out of 10,0.024019,0.016873,0.029798,0.048044,0 out of 10,0 out of 9,0 out of 10
