"Fiscal Year","Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","MSPB-1 Achievement Threshold","MSPB-1 Benchmark","MSPB-1 Baseline Rate","MSPB-1 Performance Rate","MSPB-1 Achievement Points","MSPB-1 Improvement Points","MSPB-1 Measure Score"
2026,010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,0.985942,0.825546,1.029341,0.995087,0 out of 10,1 out of 9,1 out of 10
2026,010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,0.985942,0.825546,0.949566,0.983551,1 out of 10,0 out of 9,1 out of 10
2026,010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,0.985942,0.825546,1.002782,1.010831,0 out of 10,0 out of 9,0 out of 10
2026,010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DEKALB,0.985942,0.825546,1.031967,0.965158,2 out of 10,3 out of 9,3 out of 10
2026,010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,0.985942,0.825546,1.051672,1.016865,0 out of 10,1 out of 9,1 out of 10
2026,010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,0.985942,0.825546,1.101367,1.077001,0 out of 10,0 out of 9,0 out of 10
2026,010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,0.985942,0.825546,1.044723,0.992668,0 out of 10,2 out of 9,2 out of 10
2026,010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,0.985942,0.825546,1.050795,0.995482,0 out of 10,2 out of 9,2 out of 10
2026,010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,0.985942,0.825546,0.953228,0.948348,3 out of 10,0 out of 9,3 out of 10
2026,010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,0.985942,0.825546,0.991096,0.973863,1 out of 10,1 out of 9,1 out of 10
2026,010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,0.985942,0.825546,0.955867,0.984518,1 out of 10,0 out of 9,1 out of 10
2026,010036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,0.985942,0.825546,0.942427,0.957007,2 out of 10,0 out of 9,2 out of 10
2026,010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,0.985942,0.825546,1.012438,1.020459,0 out of 10,0 out of 9,0 out of 10
2026,010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,0.985942,0.825546,1.074943,1.074653,0 out of 10,0 out of 9,0 out of 10
2026,010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,0.985942,0.825546,0.937728,0.936106,3 out of 10,0 out of 9,3 out of 10
2026,010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,0.985942,0.825546,0.955461,1.000686,0 out of 10,0 out of 9,0 out of 10
2026,010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,0.985942,0.825546,0.934032,0.926621,4 out of 10,0 out of 9,4 out of 10
2026,010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36302,HOUSTON,0.985942,0.825546,1.021858,1.008563,0 out of 10,0 out of 9,0 out of 10
2026,010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,0.985942,0.825546,0.942219,0.913482,5 out of 10,2 out of 9,5 out of 10
2026,010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,0.985942,0.825546,0.916095,0.940669,3 out of 10,0 out of 9,3 out of 10
2026,010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,0.985942,0.825546,1.071352,1.027096,0 out of 10,1 out of 9,1 out of 10
2026,010079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,0.985942,0.825546,1.036640,1.046764,0 out of 10,0 out of 9,0 out of 10
2026,010083,BALDWIN HEALTH,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,0.985942,0.825546,0.941353,0.983944,1 out of 10,0 out of 9,1 out of 10
2026,010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,0.985942,0.825546,0.981472,1.000865,0 out of 10,0 out of 9,0 out of 10
2026,010087,USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,0.985942,0.825546,0.987983,0.973750,1 out of 10,0 out of 9,1 out of 10
2026,010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,0.985942,0.825546,0.970077,0.952595,2 out of 10,1 out of 9,2 out of 10
2026,010092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,0.985942,0.825546,0.984736,0.963339,2 out of 10,1 out of 9,2 out of 10
2026,010099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,0.985942,0.825546,0.910248,0.927728,4 out of 10,0 out of 9,4 out of 10
2026,010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,0.985942,0.825546,0.948008,0.927051,4 out of 10,1 out of 9,4 out of 10
