"Fiscal Year","Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Communication With Nurses Floor","Communication With Nurses Achievement Threshold","Communication With Nurses Benchmark","Communication With Nurses Baseline Rate","Communication With Nurses Performance Rate","Communication With Nurses Achievement Points","Communication With Nurses Improvement Points","Communication With Nurses Dimension Score","Communication With Doctors Floor","Communication With Doctors Achievement Threshold","Communication With Doctors Benchmark","Communication With Doctors Baseline Rate","Communication With Doctors Performance Rate","Communication With Doctors Achievement Points","Communication With Doctors Improvement Points","Communication With Doctors Dimension Score","Responsiveness Of Hospital Staff Floor","Responsiveness Of Hospital Staff Achievement Threshold","Responsiveness Of Hospital Staff Benchmark","Responsiveness Of Hospital Staff Baseline Rate","Responsiveness Of Hospital Staff Performance Rate","Responsiveness Of Hospital Staff Achievement Points","Responsiveness Of Hospital Staff Improvement Points","Responsiveness Of Hospital Staff Dimension Score","Care Transition Floor","Care Transition Achievement Threshold","Care Transition Benchmark","Care Transition Baseline Rate","Care Transition Performance Rate","Care Transition Achievement Points","Care Transition Improvement Points","Care Transition Dimension Score","Communication About Medicines Floor","Communication About Medicines Achievement Threshold","Communication About Medicines Benchmark","Communication About Medicines Baseline Rate","Communication About Medicines Performance Rate","Communication About Medicines Achievement Points","Communication About Medicines Improvement Points","Communication About Medicines Dimension Score","Cleanliness And Quietness Of Hospital Environment Floor","Cleanliness And Quietness Of Hospital Environment Achievement Threshold","Cleanliness And Quietness Of Hospital Environment Benchmark","Cleanliness And Quietness Of Hospital Environment Baseline Rate","Cleanliness And Quietness Of Hospital Environment Performance Rate","Cleanliness And Quietness Of Hospital Environment Achievement Points","Cleanliness And Quietness Of Hospital Environment Improvement Points","Cleanliness And Quietness Of Hospital Environment Dimension Score","Discharge Information Floor","Discharge Information Achievement Threshold","Discharge Information Benchmark","Discharge Information Baseline Rate","Discharge Information Performance Rate","Discharge Information Achievement Points","Discharge Information Improvement Points","Discharge Information Dimension Score","Overall Rating Of Hospital Floor","Overall Rating Of Hospital Achievement Threshold","Overall Rating Of Hospital Benchmark","Overall Rating Of Hospital Baseline Rate","Overall Rating Of Hospital Performance Rate","Overall Rating Of Hospital Achievement Points","Overall Rating Of Hospital Improvement Points","Overall Rating Of Hospital Dimension Score","Hcahps Base Score","Hcahps Consistency Score"
2026,010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,55.23%,76.41%,85.57%,73.8343%,74.6272%,0 out of 10,0 out of 9,0,58.04%,76.83%,85.93%,78.4647%,81.0814%,5 out of 10,3 out of 9,5,36.52%,59.56%,77.19%,55.8456%,60.2471%,1 out of 10,2 out of 9,2,19.98%,48.55%,60.85%,52.3364%,55.1296%,5 out of 10,3 out of 9,5,39.27%,58.06%,70.11%,65.7507%,59.0419%,1 out of 10,0 out of 9,1,38.59%,62.61%,77.49%,63.4438%,68.0224%,4 out of 10,3 out of 9,4,63.22%,85.54%,91.10%,86.9624%,86.9136%,3 out of 10,0 out of 9,3,31.58%,67.59%,83.16%,70.0766%,74.5772%,5 out of 10,3 out of 9,5,25,18
2026,010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,55.23%,76.41%,85.57%,73.6731%,77.9676%,2 out of 10,3 out of 9,3,58.04%,76.83%,85.93%,81.1592%,83.5923%,7 out of 10,5 out of 9,7,36.52%,59.56%,77.19%,46.2040%,51.6992%,0 out of 10,1 out of 9,1,19.98%,48.55%,60.85%,44.1847%,47.6615%,0 out of 10,2 out of 9,2,39.27%,58.06%,70.11%,59.6287%,55.2617%,0 out of 10,0 out of 9,0,38.59%,62.61%,77.49%,61.8782%,68.3943%,4 out of 10,4 out of 9,4,63.22%,85.54%,91.10%,85.5621%,87.5786%,4 out of 10,3 out of 9,4,31.58%,67.59%,83.16%,64.1771%,70.9775%,2 out of 10,3 out of 9,3,24,13
2026,010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,55.23%,76.41%,85.57%,72.7007%,75.1980%,0 out of 10,1 out of 9,1,58.04%,76.83%,85.93%,75.5677%,73.9352%,0 out of 10,0 out of 9,0,36.52%,59.56%,77.19%,49.0305%,51.0118%,0 out of 10,0 out of 9,0,19.98%,48.55%,60.85%,43.4028%,41.8217%,0 out of 10,0 out of 9,0,39.27%,58.06%,70.11%,53.6921%,53.4293%,0 out of 10,0 out of 9,0,38.59%,62.61%,77.49%,55.8881%,60.9489%,0 out of 10,2 out of 9,2,63.22%,85.54%,91.10%,83.8560%,82.4038%,0 out of 10,0 out of 9,0,31.58%,67.59%,83.16%,59.3501%,60.9449%,0 out of 10,0 out of 9,0,3,12
2026,010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DEKALB,55.23%,76.41%,85.57%,75.3053%,82.2238%,6 out of 10,6 out of 9,6,58.04%,76.83%,85.93%,79.9822%,82.3201%,6 out of 10,3 out of 9,6,36.52%,59.56%,77.19%,52.8779%,68.9556%,5 out of 10,6 out of 9,6,19.98%,48.55%,60.85%,43.2426%,45.4791%,0 out of 10,1 out of 9,1,39.27%,58.06%,70.11%,54.6629%,64.2545%,5 out of 10,6 out of 9,6,38.59%,62.61%,77.49%,59.5112%,61.0770%,0 out of 10,0 out of 9,0,63.22%,85.54%,91.10%,86.8066%,88.0039%,4 out of 10,2 out of 9,4,31.58%,67.59%,83.16%,58.3171%,60.5937%,0 out of 10,0 out of 9,0,29,16
2026,010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,55.23%,76.41%,85.57%,74.0784%,74.6000%,0 out of 10,0 out of 9,0,58.04%,76.83%,85.93%,78.3602%,77.5985%,1 out of 10,0 out of 9,1,36.52%,59.56%,77.19%,55.7168%,54.2761%,0 out of 10,0 out of 9,0,19.98%,48.55%,60.85%,47.3098%,44.7639%,0 out of 10,0 out of 9,0,39.27%,58.06%,70.11%,55.1894%,54.6504%,0 out of 10,0 out of 9,0,38.59%,62.61%,77.49%,58.0645%,59.6172%,0 out of 10,0 out of 9,0,63.22%,85.54%,91.10%,80.9293%,84.1546%,0 out of 10,3 out of 9,3,31.58%,67.59%,83.16%,63.5337%,64.3873%,0 out of 10,0 out of 9,0,4,15
2026,010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,55.23%,76.41%,85.57%,81.9026%,83.6449%,8 out of 10,4 out of 9,8,58.04%,76.83%,85.93%,82.9523%,80.5553%,4 out of 10,0 out of 9,4,36.52%,59.56%,77.19%,65.3230%,71.1117%,6 out of 10,4 out of 9,6,19.98%,48.55%,60.85%,53.6722%,53.2070%,4 out of 10,0 out of 9,4,39.27%,58.06%,70.11%,63.6820%,65.5735%,6 out of 10,2 out of 9,6,38.59%,62.61%,77.49%,70.1086%,73.1806%,7 out of 10,4 out of 9,7,63.22%,85.54%,91.10%,86.1992%,87.9775%,4 out of 10,3 out of 9,4,31.58%,67.59%,83.16%,75.5696%,76.3285%,6 out of 10,0 out of 9,6,45,20
2026,010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,55.23%,76.41%,85.57%,75.4485%,76.9248%,1 out of 10,1 out of 9,1,58.04%,76.83%,85.93%,77.5683%,78.6829%,2 out of 10,1 out of 9,2,36.52%,59.56%,77.19%,63.4757%,65.6709%,4 out of 10,1 out of 9,4,19.98%,48.55%,60.85%,47.8445%,50.1440%,2 out of 10,1 out of 9,2,39.27%,58.06%,70.11%,61.8866%,62.7538%,4 out of 10,1 out of 9,4,38.59%,62.61%,77.49%,63.2684%,66.1708%,3 out of 10,2 out of 9,3,63.22%,85.54%,91.10%,85.1304%,87.4566%,4 out of 10,3 out of 9,4,31.58%,67.59%,83.16%,66.4339%,71.6356%,3 out of 10,3 out of 9,3,23,20
2026,010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,55.23%,76.41%,85.57%,75.1259%,77.5944%,2 out of 10,2 out of 9,2,58.04%,76.83%,85.93%,77.1179%,78.7476%,2 out of 10,1 out of 9,2,36.52%,59.56%,77.19%,61.8034%,62.7020%,2 out of 10,0 out of 9,2,19.98%,48.55%,60.85%,45.6928%,49.3850%,1 out of 10,2 out of 9,2,39.27%,58.06%,70.11%,58.8919%,57.9247%,0 out of 10,0 out of 9,0,38.59%,62.61%,77.49%,61.3694%,62.0372%,0 out of 10,0 out of 9,0,63.22%,85.54%,91.10%,83.0509%,84.3551%,0 out of 10,1 out of 9,1,31.58%,67.59%,83.16%,68.9172%,69.0949%,1 out of 10,0 out of 9,1,10,18
2026,010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,55.23%,76.41%,85.57%,77.7881%,81.3889%,5 out of 10,4 out of 9,5,58.04%,76.83%,85.93%,80.4455%,81.9415%,6 out of 10,2 out of 9,6,36.52%,59.56%,77.19%,62.1514%,59.7426%,1 out of 10,0 out of 9,1,19.98%,48.55%,60.85%,49.7728%,54.3754%,5 out of 10,4 out of 9,5,39.27%,58.06%,70.11%,61.5986%,62.9384%,4 out of 10,1 out of 9,4,38.59%,62.61%,77.49%,66.0632%,67.3944%,3 out of 10,1 out of 9,3,63.22%,85.54%,91.10%,85.7077%,86.0046%,1 out of 10,0 out of 9,1,31.58%,67.59%,83.16%,69.7085%,72.0131%,3 out of 10,1 out of 9,3,28,20
2026,010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,55.23%,76.41%,85.57%,77.0101%,78.7570%,3 out of 10,2 out of 9,3,58.04%,76.83%,85.93%,80.8999%,82.3838%,6 out of 10,2 out of 9,6,36.52%,59.56%,77.19%,57.3347%,58.9427%,0 out of 10,0 out of 9,0,19.98%,48.55%,60.85%,54.0030%,55.3938%,6 out of 10,2 out of 9,6,39.27%,58.06%,70.11%,60.1030%,61.4141%,3 out of 10,1 out of 9,3,38.59%,62.61%,77.49%,59.5949%,61.8882%,0 out of 10,1 out of 9,1,63.22%,85.54%,91.10%,88.4630%,89.2790%,7 out of 10,3 out of 9,7,31.58%,67.59%,83.16%,72.4339%,75.4192%,5 out of 10,2 out of 9,5,31,19
