"Fiscal Year","Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","HAI-1 Achievement Threshold","HAI-1 Benchmark","HAI-1 Baseline Rate","HAI-1 Performance Rate","HAI-1 Achievement Points","HAI-1 Improvement Points","HAI-1 Measure Score","HAI-2 Achievement Threshold","HAI-2 Benchmark","HAI-2 Baseline Rate","HAI-2 Performance Rate","HAI-2 Achievement Points","HAI-2 Improvement Points","HAI-2 Measure Score","Combined SSI Measure Score","HAI-3 Achievement Threshold","HAI-3 Benchmark","HAI-3 Baseline Rate","HAI-3 Performance Rate","HAI-3 Achievement Points","HAI-3 Improvement Points","HAI-3 Measure Score","HAI-4 Achievement Threshold","HAI-4 Benchmark","HAI-4 Baseline Rate","HAI-4 Performance Rate","HAI-4 Achievement Points","HAI-4 Improvement Points","HAI-4 Measure Score","HAI-5 Achievement Threshold","HAI-5 Benchmark","HAI-5 Baseline Rate","HAI-5 Performance Rate","HAI-5 Achievement Points","HAI-5 Improvement Points","HAI-5 Measure Score","HAI-6 Achievement Threshold","HAI-6 Benchmark","HAI-6 Baseline Rate","HAI-6 Performance Rate","HAI-6 Achievement Points","HAI-6 Improvement Points","HAI-6 Measure Score","SEP-1 Achievement Threshold","SEP-1 Benchmark","SEP-1 Baseline Rate","SEP-1 Performance Rate","SEP-1 Achievement Points","SEP-1 Improvement Points","SEP-1 Measure Score"
2026,010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,0.760,0.000,1.136,0.530,3 out of 10,5 out of 9,5 out of 10,0.615,0.000,0.437,0.086,8 out of 10,8 out of 9,8 out of 10,4 out of 10,0.747,0.000,0.684,0.457,4 out of 10,3 out of 9,4 out of 10,0.763,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.793,0.000,0.788,0.183,7 out of 10,7 out of 9,7 out of 10,0.423,0.000,0.631,0.382,1 out of 10,3 out of 9,3 out of 10,0.597482,0.843620,0.554688,0.686667,4 out of 10,4 out of 9,4 out of 10
2026,010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,0.760,0.000,2.349,0.728,1 out of 10,6 out of 9,6 out of 10,0.615,0.000,0.664,1.003,0 out of 10,0 out of 9,0 out of 10,7 out of 10,0.747,0.000,1.733,0.436,4 out of 10,7 out of 9,7 out of 10,0.763,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.793,0.000,0.531,1.590,0 out of 10,0 out of 9,0 out of 10,0.423,0.000,0.487,0.530,0 out of 10,0 out of 9,0 out of 10,0.597482,0.843620,0.639831,0.747405,6 out of 10,5 out of 9,6 out of 10
2026,010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,0.760,0.000,0.661,0.000,10 out of 10,9 out of 9,10 out of 10,0.615,0.000,0.329,0.000,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0.747,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.763,0.000,Not Available,0.000,10 out of 10,Not Available,10 out of 10,0.793,0.000,1.589,0.000,10 out of 10,9 out of 9,10 out of 10,0.423,0.000,0.043,0.078,8 out of 10,0 out of 9,8 out of 10,0.597482,0.843620,0.604651,0.656934,3 out of 10,2 out of 9,3 out of 10
2026,010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DEKALB,0.760,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.615,0.000,0.000,1.956,0 out of 10,0 out of 9,0 out of 10,Not Available,0.747,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.763,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.793,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.423,0.000,0.316,0.316,3 out of 10,0 out of 9,3 out of 10,0.597482,0.843620,0.889908,0.938356,10 out of 10,9 out of 9,10 out of 10
2026,010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,0.760,0.000,0.377,1.662,0 out of 10,0 out of 9,0 out of 10,0.615,0.000,0.461,1.124,0 out of 10,0 out of 9,0 out of 10,10 out of 10,0.747,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.763,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.793,0.000,0.732,0.428,5 out of 10,4 out of 9,5 out of 10,0.423,0.000,0.556,0.276,4 out of 10,5 out of 9,5 out of 10,0.597482,0.843620,0.750000,0.745763,6 out of 10,0 out of 9,6 out of 10
2026,010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,0.760,0.000,2.255,0.000,10 out of 10,9 out of 9,10 out of 10,0.615,0.000,0.183,0.000,10 out of 10,9 out of 9,10 out of 10,7 out of 10,0.747,0.000,3.276,0.942,0 out of 10,7 out of 9,7 out of 10,0.763,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.793,0.000,2.738,0.000,10 out of 10,9 out of 9,10 out of 10,0.423,0.000,0.464,0.942,0 out of 10,0 out of 9,0 out of 10,0.597482,0.843620,0.857143,0.687151,4 out of 10,0 out of 9,4 out of 10
2026,010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,0.760,0.000,1.837,1.046,0 out of 10,4 out of 9,4 out of 10,0.615,0.000,1.470,0.587,1 out of 10,6 out of 9,6 out of 10,1 out of 10,0.747,0.000,1.371,1.098,0 out of 10,1 out of 9,1 out of 10,0.763,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.793,0.000,2.053,1.560,0 out of 10,2 out of 9,2 out of 10,0.423,0.000,0.359,0.405,1 out of 10,0 out of 9,1 out of 10,0.597482,0.843620,0.290000,0.473684,0 out of 10,3 out of 9,3 out of 10
2026,010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,0.760,0.000,3.714,1.954,0 out of 10,4 out of 9,4 out of 10,0.615,0.000,1.966,0.694,0 out of 10,6 out of 9,6 out of 10,3 out of 10,0.747,0.000,0.660,0.540,3 out of 10,1 out of 9,3 out of 10,0.763,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.793,0.000,3.754,2.886,0 out of 10,2 out of 9,2 out of 10,0.423,0.000,0.815,0.844,0 out of 10,0 out of 9,0 out of 10,0.597482,0.843620,0.716561,0.850144,10 out of 10,9 out of 9,10 out of 10
2026,010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,0.760,0.000,1.004,0.653,2 out of 10,3 out of 9,3 out of 10,0.615,0.000,0.733,0.587,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0.747,0.000,0.594,1.834,0 out of 10,0 out of 9,0 out of 10,0.763,0.000,1.489,1.424,0 out of 10,0 out of 9,0 out of 10,0.793,0.000,0.274,0.638,2 out of 10,0 out of 9,2 out of 10,0.423,0.000,0.892,0.624,0 out of 10,3 out of 9,3 out of 10,0.597482,0.843620,0.669967,0.746224,6 out of 10,4 out of 9,6 out of 10
2026,010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,0.760,0.000,0.953,0.585,3 out of 10,3 out of 9,3 out of 10,0.615,0.000,0.653,0.536,2 out of 10,1 out of 9,2 out of 10,4 out of 10,0.747,0.000,0.748,0.490,4 out of 10,3 out of 9,4 out of 10,0.763,0.000,1.631,0.883,0 out of 10,4 out of 9,4 out of 10,0.793,0.000,1.766,0.950,0 out of 10,4 out of 9,4 out of 10,0.423,0.000,0.395,0.411,1 out of 10,0 out of 9,1 out of 10,0.597482,0.843620,0.503165,0.586207,0 out of 10,2 out of 9,2 out of 10
