"012","ISLE OF ANGLESEY UA","","","COUNCIL OFFICES","","","LLANGEFNI","","LL77 7TW","19960401","","","RO40","","","","","","","","1","","","","",""
"014","GWYNEDD UA","","","SHIREHALL STREET","","","CAERNARFON","","LL55 1SH","19960401","","","RO40","","","","","","","","1","","","","",""
"016","CONWY UA","","","BODLONDEB","BANGOR ROAD","","CONWY","","LL32 8ZT","19960401","","","RO40","","","","","","","","1","","","","",""
"018","DENBIGHSHIRE UA","","","COUNTY HALL","WYNNSTAY ROAD","","RUTHIN","","LL15 1YN","19960401","","","RO40","","","","","","","","1","","","","",""
"020","FLINTSHIRE UA","","","COUNTY HALL","","","MOLD","","CH7 6NB","19960401","","","RO40","","","","","","","","1","","","","",""
"022","WREXHAM UA","","","THE GUILDHALL","","","WREXHAM","","LL11 1AY","19960401","","","RO40","","","","","","","","1","","","","",""
"024","POWYS UA","","","COUNTY HALL","SPA ROAD EAST","","LLANDRINDOD WELLS","","LD1 5LG","19960401","","","RO40","","","","","","","","1","","","","",""
"026","CEREDIGION UA","","","PENMORFA","","","ABERAERON","","SA46 0PA","19960401","","","RO40","","","","","","","","1","","","","",""
"028","PEMBROKESHIRE UA","","","COUNTY HALL","FREEMENS WAY","","HAVERFORDWEST","","SA61 1TP","19960401","","","RO40","","","","","","","","1","","","","",""
"030","CARMARTHENSHIRE UA","","","COUNTY HALL","","","CARMARTHEN","","SA31 1JP","19960401","","","RO40","","","","","","","","1","","","","",""
"032","SWANSEA UA","","","CIVIC CENTRE","OYSTERMOUTH ROAD","","SWANSEA","","SA1 3SN","19960401","","","RO40","","","","","","","","1","","","","",""
"034","NEATH PORT TALBOT UA","","","CIVIC CENTRE","","","PORT TALBOT","","SA13 1PJ","19960401","","","RO40","","","","","","","","1","","","","",""
"036","BRIDGEND UA","","","CIVIC OFFICES","ANGEL STREET","","BRIDGEND","","CF31 4WB","19960401","","","RO40","","","","","","","","1","","","","",""
"038","VALE OF GLAMORGAN UA","","","CIVIC OFFICES","HOLTON ROAD","","BARRY","","CF63 4RU","19960401","","","RO40","","","","","","","","1","","","","",""
"040","RHONDDA, CYNON, TAFF UA","","","THE PAVILIONS","CAMBRIAN INDUSTRIAL PARK","CLYDACH VALE","TONYPANDY","","CF40 2XX","19960401","","","RO40","","","","","","","","1","","","","",""
"042","MERTHYR TYDFIL UA","","","CIVIC CENTRE","","","MERTHYR TYDFIL","","CF47 8AN","19960401","","","RO40","","","","","","","","1","","","","",""
"044","CAERPHILLY UA","","","PENALLTA HOUSE","TREDOMEN PARK","YSTRAD MYNACH","HENGOED","","CF82 7PG","19960401","","","RO40","","","","","","","","1","","","","",""
"045","BLAENAU GWENT UA","","","MUNICIPAL OFFICES","CIVIC CENTRE","","EBBW VALE","","NP23 6XB","19960401","","","RO40","","","","","","","","1","","","","",""
"046","TORFAEN UA","","","CIVIC CENTRE","","","PONTYPOOL","","NP4 6YB","19960401","","","RO40","","","","","","","","1","","","","",""
"048","MONMOUTHSHIRE UA","","","THE RHADYR","","","USK","","NP15 1GA","19960401","","","RO40","","","","","","","","1","","","","",""
"050","NEWPORT UA","","","CIVIC CENTRE","GODFREY ROAD","","NEWPORT","","NP20 4UR","19960401","","","RO40","","","","","","","","1","","","","",""
"052","CARDIFF UA","","","COUNTY HALL","ATLANTIC WHARF","","CARDIFF","","CF10 4UW","19960401","","","RO40","","","","","","","","1","","","","",""
"102","CUMBRIA COUNTY COUNCIL","Y63","QHM","CUMBRIA HOUSE","117 BOTCHERGATE","","CARLISLE","","CA1 1RD","19800101","20230331","","RO33","","","","","","","","1","","","","",""
"104","NORTHUMBERLAND COUNTY COUNCIL","Y63","QHM","COUNTY HALL","","","MORPETH","","NE61 2EF","19800101","","","RO40","","","","","","","","1","","","","",""
"105","ADUR DISTRICT COUNCIL","Y59","S9B9J","PORTLAND HOUSE","44 RICHMOND ROAD","","WORTHING","","BN11 1HS","20040401","","","RO36","","","","","","","","1","","","","",""
"106","GATESHEAD METROPOLITAN BOROUGH COUNCIL","Y63","QHM","CIVIC CENTRE","REGENT STREET","","GATESHEAD","","NE8 1HH","19800101","","","RO37","","","","","","","","1","","","","",""
"107","NEWCASTLE CITY COUNCIL","Y63","QHM","CIVIC CENTRE","","","NEWCASTLE UPON TYNE","","NE1 8QH","19800101","","","RO37","","","","","","","","1","","","","",""
"108","NORTH TYNESIDE COUNCIL","Y63","QHM","QUANDRANT","THE SILVERLINK NORTH","","NEWCASTLE UPON TYNE","","NE27 0BY","19800101","","","RO37","","","","","","","","1","","","","",""
"109","SOUTH TYNESIDE COUNCIL","Y63","QHM","TOWN HALL","WESTOE ROAD","","SOUTH SHIELDS","","NE33 2RL","19800101","","","RO37","","","","","","","","1","","","","",""
"110","SUNDERLAND CITY COUNCIL","Y63","QHM","CITY HALL","PLATER WAY","","SUNDERLAND","","SR1 3AA","19800101","","","RO37","","","","","","","","1","","","","",""
"111","HARTLEPOOL BOROUGH COUNCIL","Y63","QHM","CIVIC CENTRE","VICTORIA ROAD","","HARTLEPOOL","","TS24 8AY","19960401","","","RO40","","","","","","","","1","","","","",""
"112","MIDDLESBROUGH BOROUGH COUNCIL","Y63","QHM","MIDDLESBROUGH HOUSE","50 CORPORATION ROAD","","MIDDLESBROUGH","","TS1 2RH","19960401","","","RO40","","","","","","","","1","","","","",""
"113","REDCAR AND CLEVELAND BOROUGH COUNCIL","Y63","QHM","REDCAR & CLEVELAND HOUSE","KIRKLEATHAM STREET","","REDCAR","","TS10 1RT","19960401","","","RO40","","","","","","","","1","","","","",""
"114","STOCKTON-ON-TEES BOROUGH COUNCIL","Y63","QHM","MUNICIPAL BUILDINGS","PO BOX 11","CHURCH ROAD","STOCKTON-ON-TEES","","TS18 1LD","19960401","","","RO40","","","","","","","","1","","","","",""
"115","ALLERDALE BOROUGH COUNCIL","Y63","QHM","ALLERDALE HOUSE","NEW BRIDGE ROAD","","WORKINGTON","","CA14 3YJ","20040401","20230331","","RO34","","","","","","","","1","","","","",""
"116","DURHAM COUNTY COUNCIL","Y63","QHM","COUNTY HALL","","","DURHAM","","DH1 5UL","19970401","","","RO40","","","","","","","","1","","","","",""
"117","DARLINGTON BOROUGH COUNCIL","Y63","QHM","TOWN HALL","FEETHAMS","","DARLINGTON","","DL1 5QT","19970401","","","RO40","","","","","","","","1","","","","",""
"118","AMBER VALLEY BOROUGH COUNCIL","Y60","QJ2","TOWN HALL","MARKET PLACE","","RIPLEY","","DE5 3BT","20040401","","","RO34","","","","","","","","1","","","","",""
"119","ARUN DISTRICT COUNCIL","Y59","S9B9J","ARUN CIVIC CENTRE","1 MALTRAVERS ROAD","","LITTLEHAMPTON","","BN17 5LF","20040401","","","RO36","","","","","","","","1","","","","",""
