"102AA","CUMBRIA COUNTY COUNCIL HQ","Y63","QHM","THE COURTS","ENGLISH STREET","","CARLISLE","","CA3 8NA","20161001","20230331","","","102","","","","","","","1","","","","",""
"102AC","CUMBRIA COUNTY COUNCIL DATA CENTRE","Y63","QHM","CUMBRIA HOUSE","113 -117 BOTCHERGATE","","CARLISLE","","CA1 1RZ","20161001","20230331","","","102","","","","","","","1","","","","",""
"102AD","CUMBRIA FIRE & RESCUE SERVICE HEADQUARTERS","Y63","QHM","CARLETON AVENUE","","","PENRITH","","CA10 2FA","20161001","20230331","","","102","","","","","","","1","","","","",""
"105AA","ADUR WELLBEING","Y59","S9B9J","PORTLAND HOUSE","44 RICHMOND ROAD","","WORTHING","","BN11 1HS","20161001","","","","105","","","","","","","1","","","","",""
"106AA","CIVIC CENTRE","Y63","QHM","REGENT STREET","","","GATESHEAD","","NE8 1HH","20190401","","","","106","","","","","","","1","","","","",""
"106AC","NORTHERN DESIGN CENTRE","Y63","QHM","BALTIC BUSINESS QUARTERS","ABBOTT'S HILL","","GATESHEAD","","NE8 3DF","20191001","","","","106","","","","","","","1","","","","",""
"108AA","NORTH TYNESIDE SOCIAL SERVICES DIRECTORATE","Y63","QHM","16 THE SILVERLINK NORTH","","","NEWCASTLE UPON TYNE","","NE27 0BY","20130401","","","","108","","","","","","","1","","","","",""
"109AA","SOUTH TYNESIDE COUNCIL (ROLLING MILL ROAD)","Y63","QHM","ROLLING MILL ROAD","","","JARROW","","NE32 3DP","20181001","20260430","","","109","","","","","","","1","","","","",""
"112AA","RESOLUTION HOUSE","Y63","QHM","CARGO FLEET LANE","CARGO FLEET","","MIDDLESBROUGH","","TS3 8AL","20181001","","","","112","","","","","","","1","","","","",""
"113AC","TEES VALLEY PUBLIC HEALTH SHARED SERVICES","Y63","QHM","1ST FLOOR, REDHEUGH HOUSE","THORNABY PLACE","THORNABY","STOCKTON-ON-TEES","","TS17 6SG","20140401","","","","113","","","","","","","1","","","","",""
"116AA","COMELEON HOUSE","Y63","QHM","TANFIELD LEA INDUSTRIAL ESTATE","TANFIELD LEA","","STANLEY","","DH9 9NX","20161001","","","","116","","","","","","","1","","","","",""
"116AC","COUNCIL OFFICES","Y63","QHM","GREEN LANE","","","SPENNYMOOR","","DL16 6JQ","20161001","","","","116","","","","","","","1","","","","",""
"116AD","DURHAM COUNTY COUNCIL PUBLIC HEALTH","Y63","QHM","DURHAM COUNTY COUNCIL","COUNTY HALL","","DURHAM","","DH1 5UG","20140401","","","","116","","","","","","","1","","","","",""
"117PH","PUBLIC HEALTH","Y63","QHM","DARLINGTON BOROUGH COUNCIL","TOWN HALL","FEETHAMS","DARLINGTON","","DL1 5QT","20141001","","","","117","","","","","","","1","","","","",""
"119AA","ARUN WELLBEING","Y59","S9B9J","ARUN CIVIC CENTRE","1 MALTRAVERS ROAD","","LITTLEHAMPTON","","BN17 5LF","20161001","","","","119","","","","","","","1","","","","",""
"155AA","CHICHESTER WELLBEING","Y59","S9B9J","WESTGATE LEISURE CENTRE","VIA RAVENNA","","CHICHESTER","","PO19 1RJ","20161001","","","","155","","","","","","","1","","","","",""
"166AA","CRAWLEY WELLBEING","Y59","S9B9J","K2 CRAWLEY","PEASE POTTAGE HILL","","CRAWLEY","","RH11 9BQ","20161001","","","","166","","","","","","","1","","","","",""
"204AA","BARNSLEY METROPOLITAN BOROUGH COUNCIL PUBLIC HEALTH","Y63","QF7","TOWN HALL","CHURCH STREET","","BARNSLEY","","S70 2TA","20131001","","","","204","","","","","","","1","","","","",""
"205AA","CIVIC OFFICE","Y63","QF7","DONCASTER COUNCIL","CIVIC OFFICE","WATERDALE","DONCASTER","","DN1 3BU","20181001","","","","205","","","","","","","1","","","","",""
"205AC","COLONNADES","Y63","QF7","DONCASTER COUNCIL","THE COLONNADES","DUKE STREET","DONCASTER","","DN1 1ER","20181001","","","","205","","","","","","","1","","","","",""
"206AA","AUTISM INFORMATION AND ADVICE SERVICE","Y63","QF7","KIMBERWORTH PLACE","KIMBERWORTH ROAD","","ROTHERHAM","","S61 1HE","20191001","","","","206","","","","","","","1","","","","",""
"206AC","ROTHERHAM METROPOLITAN BOROUGH COUNCIL","Y63","QF7","RIVERSIDE HOUSE","MAIN STREET","","ROTHERHAM","","S60 1AE","20131001","","","","206","","","","","","","1","","","","",""
"209AA","PUBLIC HEALTH - CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL","Y63","QWO","BRITANNIA HOUSE (5TH FLOOR)","BROADWAY","","BRADFORD","","BD1 1HX","20160401","","","","209","","","","","","","1","","","","",""
"211AA","KIRKLEES COUNCIL HQ","Y63","QWO","CIVIC CENTRE","3 MARKET STREET","","HUDDERSFIELD","","HD1 2EH","20160401","","","","211","","","","","","","1","","","","",""
"211AC","KIRKLEES COUNCIL- PUBLIC HEALTH","Y63","QWO","39 OLD LEEDS ROAD","","","HUDDERSFIELD","","HD1 1SR","20160401","","","","211","","","","","","","1","","","","",""
"212AA","LEEDS CITY COUNCIL CHILD SERVICES","Y63","QWO","110 MERRION WAY, MERRION HOUSE","6TH FLOOR EAST","CHILDREN'S SERVICES ICT","LEEDS","","LS2 8BB","20130401","","","","212","","","","","","","1","","","","",""
"212AC","LEEDS CITY COUNCIL ADULTS AND HEALTH","Y63","QWO","MERRION HOUSE","MERRION WAY","","LEEDS","","LS2 8BB","20190401","","","","212","","","","","","","1","","","","",""
"212AD","LEEDS CITY COUNCIL APEX DATACENTRE","Y63","QWO","8 APEX WAY","","","LEEDS","","LS11 5LT","20191001","","","","212","","","","","","","1","","","","",""
"213AA","WAKEFIELD SOCIAL SERVICES DIRECTORATE","Y63","QWO","COUNTY HALL","BOND STREET","","WAKEFIELD","","WF1 2QL","20130401","","","","213","","","","","","","1","","","","",""
"213AC","WAKEFIELD DISTRICT SAFEGUARDING CHILDREN'S BOARD","Y63","QWO","ROOM 59, GROUND FLOOR","COUNTY HALL","BOND STREET","WAKEFIELD","","WF1 2QW","20181001","","","","213","","","","","","","1","","","","",""
"213AD","WAKEFIELD L&D","Y63","QWO","TOWN HALL","HIGH STREET","","NORMANTON","","WF6 2DZ","20190401","","","","213","","","","","","","1","","","","",""
"213AE","CALDERDALE L&D","Y63","QWO","RICHMOND CLOSE","","","HALIFAX","","HX1 5TW","20190401","","","","213","","","","","","","1","","","","",""
"213AF","KIRKLEES L&D","Y63","QWO","CASTLEGATE","","","HUDDERSFIELD","","HD1 2NJ","20190401","","","","213","","","","","","","1","","","","",""
"213AG","LEEDS L&D","Y63","QWO","ELLAND ROAD","","","LEEDS","","LS11 8BU","20190401","","","","213","","","","","","","1","","","","",""
"213AH","BRADFORD L&D","Y63","QWO","NELSON STREET","","","BRADFORD","","BD5 0DX","20190401","","","","213","","","","","","","1","","","","",""
"214AA","COUNTY HALL","Y63","QOQ","CROSS STREET","","","BEVERLEY","","HU17 9BA","20180401","","","","214","","","","","","","1","","","","",""
"215AA","YPS SSM SERVICE (REFRESH)","Y63","QOQ","KENWORTHY HOUSE","98-104 GEORGE STREET","","HULL","","HU1 3DT","20151001","","","","215","","","","","","","1","","","","",""
"216AA","NORTH EAST LINCOLNSHIRE COUNCIL HR TEAM","Y63","QOQ","MUNICIPAL OFFICES","TOWN HALL SQUARE","","GRIMSBY","","DN31 1HU","20131001","","","","216","","","","","","","1","","","","",""
"216AC","PUBLIC HEALTH TEAM","Y63","QOQ","NORTH EAST LINCOLNSHIRE COUNCIL","WILLIAM MOLSON CENTRE","KENT STREET","GRIMSBY","","DN32 7DJ","20150401","","","","216","","","","","","","1","","","","",""
"216AD","CHILDRENS HEALTH PROVISION","Y63","QOQ","NORTH EAST LINCOLNSHIRE COUNCIL","WILLIAM MOLSON CENTRE","KENT STREET","GRIMSBY","","DN32 7DJ","20150401","","","","216","","","","","","","1","","","","",""
"219AA","YORK CITY COUNCIL - WEST OFFICES","Y63","QOQ","WEST OFFICES","STATION RISE","","YORK","","YO1 6GA","20161001","","","","219","","","","","","","1","","","","",""
"219AC","YORK COUNCIL PUBLIC HEALTH","Y63","QOQ","STATION RISE","","","YORK","","YO1 6GA","20161001","","","","219","","","","","","","1","","","","",""
"231AA","HORSHAM WELLBEING","Y59","S9B9J","PARKSIDE","CHART WAY","","HORSHAM","","RH12 1RL","20161001","","","","231","","","","","","","1","","","","",""
"250AA","MID SUSSEX WELLBEING","Y59","S9B9J","OAKLANDS","OAKLANDS ROAD","","HAYWARDS HEATH","","RH16 1SS","20161001","","","","250","","","","","","","1","","","","",""
"306AA","MCC DC1 (MANOC 6)","Y62","QOP","UNIT 4","BLACKMORE ROAD","STRETFORD","MANCHESTER","","M32 0QY","20191001","","","","306","","","","","","","1","","","","",""
"306AC","MCC DC2 (MANOC 9)","Y62","QOP","BIRLEY FIELDS","","","MANCHESTER","","M15 5QJ","20191001","","","","306","","","","","","","1","","","","",""
"307AA","UNITY ICT DATA CENTRE","Y62","QOP","LEVEL 2","CIVIC CENTRE","WEST STREET","OLDHAM","","OL1 1UT","20160401","","","","307","","","","","","","1","","","","",""
"313AA","WIGAN SOCIAL SERVICES DIRECTORATE","Y62","QOP","TOWN HALL","LIBRARY STREET","","WIGAN","","WN1 1YN","20130401","","","","313","","","","","","","1","","","","",""
"315CP","INFORMATION TECHNOLOGIES SERVICE","Y62","QYG","KNOWSLEY METROPOLITAN COUNCIL","COMPUTER CENTRE","WESTMORLAND ROAD","LIVERPOOL","","L36 9GL","20151001","","","","315","","","","","","","1","","","","",""
"316AA","PUBLIC HEALTH LIVERPOOL CITY COUNCIL","Y62","QYG","LIVERPOOL CITY COUNCIL","PREMIER COURT","26 HATTON GARDEN","LIVERPOOL","","L3 2AA","20151001","","","","316","","","","","","","1","","","","",""
"319AA","WIRRAL METROPOLITAN BOROUGH COUNCIL - PUBLIC HEALTH","Y62","QYG","TREASURY BUILDING","CLEVELAND STREET","","BIRKENHEAD","","CH41 6BU","20141001","","","","319","","","","","","","1","","","","",""
"319CH","RIVERSIDE","Y62","QYG","SUITE 1 MARWOOD, RIVERSIDE PARK","1 SOUTHWOOD ROAD","BROMBOROUGH","WIRRAL","","CH62 3QX","20150401","","","","319","","","","","","","1","","","","",""
"322AA","PUBLIC HEALTH DEPARTMENT","Y62","QYG","FAMILIES & WELLBEING DIRECTORATE","WARRINGTON BOROUGH COUNCIL","FIRST FLOOR NEW TOWN HOUSE","WARRINGTON","","WA1 2NH","20140401","20251231","","","322","","","","","","","1","","","","",""
"323AA","LANCASHIRE SOCIAL SERVICES DIRECTORATE","Y62","QE1","PO BOX 78","","","PRESTON","","PR1 8XJ","20130401","","","","323","","","","","","","1","","","","",""
"323AC","LANCASHIRE SAFEGUARDING CHILDREN BOARD","Y62","QE1","ROOM 503-504","EAST CLIFF COUNTY OFFICES","EAST CLIFF JDO","PRESTON","","PR1 3JT","20141001","","","","323","","","","","","","1","","","","",""
"326AA","KELLY HOUSE","","","MINERVA AVENUE","CHESTER WEST EMPLOYMENT PARK","","CHESTER","","CH1 4QL","20181001","","","","326","","","","","","","1","","","","",""
"376AA","WORTHING WELLBEING","Y59","S9B9J","PORTLAND HOUSE","44 RICHMOND ROAD","","WORTHING","","BN11 1HS","20161001","","","","376","","","","","","","1","","","","",""
"406AA","BIRMINGHAM CITY COUNCIL PUBLIC HEALTH","Y60","QHL","10 WOODCOCK STREET","ASTON","","BIRMINGHAM","","B7 4BL","20131001","","","","406","","","","","","","1","","","","",""
"406AC","LANCASTER CIRCUS","Y60","QHL","1 LANCASTER CIRCUS QUEENSWAY","","","BIRMINGHAM","","B4 7DJ","20191001","20260531","","","406","","","","","","","1","","","","",""
"406AD","COUNCIL HOUSE EXTENSION","Y60","QHL","COUNCIL HOUSE EXT","6 MARGARET STREET","","BIRMINGHAM","","B3 3BG","20191001","","","","406","","","","","","","1","","","","",""
"408AA","EDNAM ROAD DATA CENTRE","Y60","QUA","4 EDNAM ROAD","","","DUDLEY","","DY1 1HL","20180401","","","","408","","","","","","","1","","","","",""
"408AC","ST JAMES ROAD DATA CENTRE","Y60","QUA","5 ST. JAMES'S ROAD","","","DUDLEY","","DY1 1HZ","20180401","","","","408","","","","","","","1","","","","",""
"411AA","WALSALL SOCIAL SERVICES DIRECTORATE","Y60","QUA","WALSALL MET BOROUGH COUNCIL","CIVIC CENTRE","","WALSALL","","WS1 1TP","20130401","","","","411","","","","","","","1","","","","",""
"413AA","STAFFORDSHIRE COUNTY COUNCIL - PUBLIC HEALTH TEAM","Y60","QNC","1 STAFFORDSHIRE PLACE","","","STAFFORD","","ST16 2DH","20150401","","","","413","","","","","","","1","","","","",""
"413AC","STAFFORDSHIRE COUNTY COUNCIL - EASTGATE STREET DATA CENTRE","Y60","QNC","17 EASTGATE STREET","","","STAFFORD","","ST16 2LZ","20190401","","","","413","","","","","","","1","","","","",""
"415AA","HILLSIDE INTERMEDIATE CARE CENTRE","Y60","QGH","9 PENTWYN AVENUE","","","HEREFORD","","HR2 7LB","20200401","","","","415","","","","","","","1","","","","",""
"416AA","WORCESTERSHIRE COUNTY COUNCIL PUBLIC HEALTH TEAM","Y60","QGH","COUNTY HALL","SPETCHLEY ROAD","","WORCESTER","","WR5 2NP","20141001","","","","416","","","","","","","1","","","","",""
"416AC","WORCESTERSHIRE COUNTY COUNCIL - WILDWOOD","Y60","QGH","WILDWOOD","WILDWOOD DRIVE","","WORCESTER","","WR5 2QT","20191001","","","","416","","","","","","","1","","","","",""
"418AA","DARBY HOUSE","Y60","QOC","LAWN CENTRAL","TOWN CENTRE","","TELFORD","","TF3 4JA","20160401","","","","418","","","","","","","1","","","","",""
"503AA","SEXUAL HEALTH CLINIC","Y60","QJM","BOSTON HEALTH CLINIC","LINCOLN LANE","","BOSTON","","PE21 8RU","20180401","","","","503","","","","","","","1","","","","",""
"503AC","UNIVERSITY HEALTH CARE","Y60","QJM","COURT","4 CAMPUS WAY","","LINCOLN","","LN6 7FY","20180401","","","","503","","","","","","","1","","","","",""
"503AD","RIVERSDALE HEALTH CLINIC","Y60","QJM","21 WESTGATE","","","SLEAFORD","","NG34 7PJ","20180401","","","","503","","","","","","","1","","","","",""
"503AE","BOSTON HEALTH CLINIC","Y60","QJM","LINCOLN LANE","","","BOSTON","","PE21 8RU","20180401","","","","503","","","","","","","1","","","","",""
"503AF","LINDON HOUSE","Y60","QJM","134 DIXON STREET","","","LINCOLN","","LN6 7TU","20180401","","","","503","","","","","","","1","","","","",""
"503AG","HOLBEACH HEALTH CLINIC","Y60","QJM","PARK ROAD","HOLBEACH","","SPALDING","","PE12 7EE","20180401","","","","503","","","","","","","1","","","","",""
"503AH","HORNCASTLE HEALTH CENTRE","Y60","QJM","MANOR HOUSE STREET","","","HORNCASTLE","","LN9 5HF","20180401","","","","503","","","","","","","1","","","","",""
"503AJ","SKEGNESS HOSPITAL","Y60","QJM","DOROTHY AVENUE","","","SKEGNESS","","PE25 2BS","20180401","","","","503","","","","","","","1","","","","",""
"503AK","GRANTHAM & DISTRICT HOSPITAL","Y60","QJM","101 MANTHORPE ROAD","","","GRANTHAM","","NG31 8DG","20180401","","","","503","","","","","","","1","","","","",""
"503AL","GAINSBOROUGH HEALTH CLINIC","Y60","QJM","HICKMAN STREET","","","GAINSBOROUGH","","DN21 2DZ","20180401","","","","503","","","","","","","1","","","","",""
"503AM","NEWLAND INTEGRATED CLINIC","Y60","QJM","NEWLAND HEALTH CENTRE","34 NEWLAND","","LINCOLN","","LN1 1XP","20180401","","","","503","","","","","","","1","","","","",""
"503AN","THE JOHNSON COMMUNITY HOSPITAL","Y60","QJM","SPALDING ROAD","PINCHBECK","","SPALDING","","PE11 3DT","20180401","","","","503","","","","","","","1","","","","",""
"503AP","JOHN COUPLAND COMMUNITY HOSPITAL","Y60","QJM","ROPERY ROAD","","","GAINSBOROUGH","","DN21 2TJ","20180401","","","","503","","","","","","","1","","","","",""
"503AQ","LOUTH COMMUNITY HOSPITAL","Y60","QJM","HIGH HOLME ROAD","","","LOUTH","","LN11 0EU","20180401","","","","503","","","","","","","1","","","","",""
"503AR","BOSTON ENTERPRISE CENTRE","Y60","QJM","VENTURE HOUSE","ENTERPRISE WAY","WYBERTON FEN","BOSTON","","PE21 7TW","20180401","","","","503","","","","","","","1","","","","",""
"503AT","MARISCO MEDICAL PRACTICE","Y60","QJM","STANLEY AVENUE","","","MABLETHORPE","","LN12 1DP","20180401","","","","503","","","","","","","1","","","","",""
"503AV","MARKET RASEN CLINIC","Y60","QJM","MILL ROAD","","","MARKET RASEN","","LN8 3BP","20180401","","","","503","","","","","","","1","","","","",""
"503AW","WADDINGTON CHILDREN CENTRE","Y60","QJM","REDWOOD DRIVE","WADDINGTON","","LINCOLN","","LN5 9BN","20180401","","","","503","","","","","","","1","","","","",""
"503AX","WASHINGBOROUGH CHILDREN CENTRE","Y60","QJM","SCHOOL LANE","WASHINGBOROUGH","","LINCOLN","","LN4 1BW","20180401","","","","503","","","","","","","1","","","","",""
"503AY","NORTH HYKEHAM DENTAL CLINIC","Y60","QJM","MOOR LANE","NORTH HYKEHAM","","LINCOLN","","LN6 9BA","20180401","","","","503","","","","","","","1","","","","",""
"503CA","BINBROOK SURGERY","Y60","QJM","BACK LANE","BINBROOK","","MARKET RASEN","","LN8 6ED","20180401","","","","503","","","","","","","1","","","","",""
"503CC","WELTON FAMILY HEALTH CENTRE","Y60","QJM","4 CLIFF ROAD","WELTON","","LINCOLN","","LN2 3JH","20180401","","","","503","","","","","","","1","","","","",""
"503CD","INGHAM MEDICAL PRACTICE","Y60","QJM","LINCOLN ROAD","INGHAM","","LINCOLN","","LN1 2XF","20180401","","","","503","","","","","","","1","","","","",""
"503CE","LINDUM MEDICAL PRACTICE","Y60","QJM","1 CABOURNE COURT","","","LINCOLN","","LN2 2JP","20180401","","","","503","","","","","","","1","","","","",""
"503CF","NEW SPRINGWELLS PRACTICE","Y60","QJM","SPRING WELLS","BILLINGBOROUGH","","SLEAFORD","","NG34 0QQ","20180401","","","","503","","","","","","","1","","","","",""
"503CG","MARKET CROSS SURGERY","Y60","QJM","BOURNE ROAD","CORBY GLEN","","GRANTHAM","","NG33 4BB","20180401","","","","503","","","","","","","1","","","","",""
"503CH","ST JOHNS MEDICAL CENTRE","Y60","QJM","62 LONDON ROAD","","","GRANTHAM","","NG31 6HR","20180401","","","","503","","","","","","","1","","","","",""
"503CJ","ST PETERS HILL SURGERY","Y60","QJM","15 ST PETERS HILL","","","GRANTHAM","","NG31 6QA","20180401","","","","503","","","","","","","1","","","","",""
